"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"R33MH123029","Department of Otolaryngology - Head and Neck Surgery, Vanderbilt University Medical Center, Nashville, TN 37232.","2022","Lense, Miriam D; Shultz, Sarah; Astésano, Corine; Jones, Warren","United States","1091-6490","45","<a href='https://pubmed.ncbi.nlm.nih.gov/36322755'>Proceedings of the National Academy of Sciences of the United States of America</a>","Proc Natl Acad Sci U S A","119","eng","e2116967119","9659341","36322755","2022 Nov 08","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9659341'>Music of infant-directed singing entrains infants' social visual behavior.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36322755&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9659341/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36322755'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9659341/'>Cited By, Google</a>",3.2
"R01MH122706","Department of Psychiatry, Division of Behavioral Medicine, Columbia University Irving Medical Center, New York, NY 10032, USA; Department of Neurology, H. Houston Merritt Center, Columbia Translational Neuroscience Initiative, Columbia University Irving Medical Center, New York, NY 10032, USA; New York State Psychiatric Institute, New York, NY 10032, USA. Electronic address: martin.picard@columbia.edu.","2022","Picard, Martin; Shirihai, Orian S","United States","1932-7420","11","<a href='https://pubmed.ncbi.nlm.nih.gov/36323233'>Cell metabolism</a>","Cell Metab","34","eng","1620-1653","9692202","36323233","2022 Nov 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9692202'>Mitochondrial signal transduction.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36323233&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9692202/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36323233'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9692202/'>Cited By, Google</a>",22.07
"R01MH119336","Department of Psychiatry, Division of Behavioral Medicine, Columbia University Irving Medical Center, New York, NY 10032, USA; Department of Neurology, H. Houston Merritt Center, Columbia Translational Neuroscience Initiative, Columbia University Irving Medical Center, New York, NY 10032, USA; New York State Psychiatric Institute, New York, NY 10032, USA. Electronic address: martin.picard@columbia.edu.","2022","Picard, Martin; Shirihai, Orian S","United States","1932-7420","11","<a href='https://pubmed.ncbi.nlm.nih.gov/36323233'>Cell metabolism</a>","Cell Metab","34","eng","1620-1653","9692202","36323233","2022 Nov 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9692202'>Mitochondrial signal transduction.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36323233&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9692202/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36323233'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9692202/'>Cited By, Google</a>",22.07
"R01MH123184","Seaver Autism Center for Research and Treatment, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA; Department of Psychiatry, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA; Department of Genetics and Genomic Sciences, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA; Pamela Sklar Division of Psychiatric Genomics, Icahn School of Medicine at Mount Sinai, New York, NY 10029, USA.","2022","Cuddleston, Winston H; Fan, Xuanjia; Sloofman, Laura; Liang, Lindsay; Mossotto, Enrico; Moore, Kendall; Zipkowitz, Sarah; Wang, Minghui; Zhang, Bin; Wang, Jiebiao; Sestan, Nenad; Devlin, Bernie; Roeder, Kathryn; Sanders, Stephan J; Buxbaum, Joseph D; Breen, Michael S","United States","2211-1247","5","<a href='https://pubmed.ncbi.nlm.nih.gov/36323256'>Cell reports</a>","Cell Rep","41","eng","111585","9704047","36323256","2022 Nov 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9704047'>Spatiotemporal and genetic regulation of A-to-I editing throughout human brain development.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36323256&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9704047/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36323256'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9704047/'>Cited By, Google</a>",1.45
"P50MH106438","Center for Neurobehavioral Genetics, Semel Institute for Neuroscience and Human Behavior, David Geffen School of Medicine, University of California, Los Angeles, CA, USA. michael.gandal@pennmedicine.upenn.edu.","2022","Gandal, Michael J; Haney, Jillian R; Wamsley, Brie; Yap, Chloe X; Parhami, Sepideh; Emani, Prashant S; Chang, Nathan; Chen, George T; Hoftman, Gil D; de Alba, Diego; Ramaswami, Gokul; Hartl, Christopher L; Bhattacharya, Arjun; Luo, Chongyuan; Jin, Ting; Wang, Daifeng; Kawaguchi, Riki; Quintero, Diana; Ou, Jing; Wu, Ye Emily; Parikshak, Neelroop N; Swarup, Vivek; Belgard, T Grant; Gerstein, Mark; Pasaniuc, Bogdan; Geschwind, Daniel H","England","1476-4687","7936","<a href='https://pubmed.ncbi.nlm.nih.gov/36323788'>Nature</a>","Nature","611","eng","532-539","9668748","36323788","2022 Nov","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9668748'>Broad transcriptomic dysregulation occurs across the cerebral cortex in ASD.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36323788&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9668748/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36323788'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9668748/'>Cited By, Google</a>",9.05
"R01MH118203","Centre for Research in Animal Behaviour, University of Exeter, Exeter, UK.","2022","Hart, Jordan D A; Weiss, Michael N; Brent, Lauren J N; Franks, Daniel W","Germany","0340-5443","11","<a href='https://pubmed.ncbi.nlm.nih.gov/36325506'>Behavioral ecology and sociobiology</a>","Behav Ecol Sociobiol","76","eng","151","9617964","36325506","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9617964'>Common permutation methods in animal social network analysis do not control for non-independence.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36325506&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9617964/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36325506'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9617964/'>Cited By, Google</a>",4.9
"ZIAMH002969","Emotion and Development Branch, National Institute of Mental Health, Bethesda, Maryland, USA.","2022","Naim, Reut; Shaughnessy, Shannon; Smith, Ashley; Karalunas, Sarah L; Kircanski, Katharina; Brotman, Melissa A","United States","1520-6394","12","<a href='https://pubmed.ncbi.nlm.nih.gov/36325887'>Depression and anxiety</a>","Depress Anxiety","39","eng","870-880","9729410","36325887","2022 Dec","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9729410'>Real-time assessment of positive and negative affective fluctuations and mood lability in a transdiagnostic sample of youth.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36325887&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9729410/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36325887'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9729410/'>Cited By, Google</a>",1.83
"P50MH115843","Department of Psychiatry, Vagelos College of Physicians and Surgeons, Columbia University, New York, NY, United States.","2022","Stefancic, Ana; Rogers, R Tyler; Styke, Sarah; Xu, Xiaoyan; Buchsbaum, Richard; Nossel, Ilana; Cabassa, Leopoldo J; Stroup, T Scott; Kimhy, David","Canada","2368-7959","11","<a href='https://pubmed.ncbi.nlm.nih.gov/36331539'>JMIR mental health</a>","JMIR Ment Health","9","eng","e41482","9675009","36331539","2022 Nov 04","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9675009'>Development of the First Episode Digital Monitoring mHealth Intervention for People With Early Psychosis: Qualitative Interview Study With Clinicians.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36331539&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9675009/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36331539'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9675009/'>Cited By, Google</a>",0.8
"P30MH043520","HIV Center for Clinical and Behavioral Studies, Gender, Sexuality and Health Area, New York State Psychiatric Institute, New York City, New York, USA jem57@cumc.columbia.edu.","2022","Mantell, Joanne; Franks, Julie; Zerbe, Allison; Lamb, Matthew R; Reed, Domonique M; Omollo, Dan; Lahuerta, Maria; Naitore, Doris; El-Sadr, Wafaa M; Agot, Kawango","England","2044-6055","11","<a href='https://pubmed.ncbi.nlm.nih.gov/36332953'>BMJ open</a>","BMJ Open","12","eng","e064037","9639093","36332953","2022 Nov 04","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9639093'>MPrEP+ study protocol: a prospective cohort study assessing the feasibility and acceptability of an HIV pre-exposure prophylaxis (PrEP) strategy for male clients of female sex workers in Kisumu, Kenya.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36332953&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9639093/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36332953'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9639093/'>Cited By, Google</a>",0.33
"R01MH106826","Institute of Cancer and Genomic Sciences, University of Birmingham, Birmingham, UK.","2022","Grange, Laura J; Reynolds, John J; Ullah, Farid; Isidor, Bertrand; Shearer, Robert F; Latypova, Xenia; Baxley, Ryan M; Oliver, Antony W; Ganesh, Anil; Cooke, Sophie L; Jhujh, Satpal S; McNee, Gavin S; Hollingworth, Robert; Higgs, Martin R; Natsume, Toyoaki; Khan, Tahir; Martos-Moreno, Gabriel Á; Chupp, Sharon; Mathew, Christopher G; Parry, David; Simpson, Michael A; Nahavandi, Nahid; Yüksel, Zafer; Drasdo, Mojgan; Kron, Anja; Vogt, Petra; Jonasson, Annemarie; Seth, Saad Ahmed; Gonzaga-Jauregui, Claudia; Brigatti, Karlla W; Stegmann, Alexander P A; Kanemaki, Masato; Josifova, Dragana; Uchiyama, Yuri; Oh, Yukiko; Morimoto, Akira; Osaka, Hitoshi; Ammous, Zineb; Argente, Jesús; Matsumoto, Naomichi; Stumpel, Constance T R M; Taylor, Alexander M R; Jackson, Andrew P; Bielinsky, Anja-Katrin; Mailand, Niels; Le Caignec, Cedric; Davis, Erica E; Stewart, Grant S","England","2041-1723","1","<a href='https://pubmed.ncbi.nlm.nih.gov/36333305'>Nature communications</a>","Nat Commun","13","eng","6664","9636423","36333305","2022 Nov 04","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9636423'>Pathogenic variants in SLF2 and SMC5 cause segmented chromosomes and mosaic variegated hyperploidy.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36333305&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9636423/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36333305'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9636423/'>Cited By, Google</a>",1.88
"ZICMH002899","Wellcome Centre for Integrative Neuroimaging, Centre for fMRI of the Brain (FMRIB), Nuffield Department of Clinical Neurosciences, John Radcliffe Hospital, University of Oxford, Headington, Oxford, OX9 3DU, UK. reveley@gmail.com.","2022","Reveley, Colin; Ye, Frank Q; Mars, Rogier B; Matrov, Denis; Chudasama, Yogita; Leopold, David A","England","2041-1723","1","<a href='https://pubmed.ncbi.nlm.nih.gov/36335105'>Nature communications</a>","Nat Commun","13","eng","6702","9637141","36335105","2022 Nov 05","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9637141'>Diffusion MRI anisotropy in the cerebral cortex is determined by unmyelinated tissue features.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36335105&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9637141/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36335105'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9637141/'>Cited By, Google</a>",2.27
"R01MH122447","Department of Psychological Sciences, Rice University, United States.","2022","Garcini, Luz M; Arredondo, Maria M; Berry, Obianuju; Church, Jessica A; Fryberg, Stephanie; Thomason, Moriah E; McLaughlin, Katie A","Netherlands","1878-9307"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36335807'>Developmental cognitive neuroscience</a>","Dev Cogn Neurosci","58","eng","101167","9638728","36335807","2022 Dec","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9638728'>Increasing diversity in developmental cognitive neuroscience: A roadmap for increasing representation in pediatric neuroimaging research.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36335807&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9638728/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36335807'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9638728/'>Cited By, Google</a>",5.74
"R01MH126468","Department of Psychological Sciences, Rice University, United States.","2022","Garcini, Luz M; Arredondo, Maria M; Berry, Obianuju; Church, Jessica A; Fryberg, Stephanie; Thomason, Moriah E; McLaughlin, Katie A","Netherlands","1878-9307"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36335807'>Developmental cognitive neuroscience</a>","Dev Cogn Neurosci","58","eng","101167","9638728","36335807","2022 Dec","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9638728'>Increasing diversity in developmental cognitive neuroscience: A roadmap for increasing representation in pediatric neuroimaging research.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36335807&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9638728/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36335807'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9638728/'>Cited By, Google</a>",5.74
"R01MH125870","Department of Psychological Sciences, Rice University, United States.","2022","Garcini, Luz M; Arredondo, Maria M; Berry, Obianuju; Church, Jessica A; Fryberg, Stephanie; Thomason, Moriah E; McLaughlin, Katie A","Netherlands","1878-9307"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36335807'>Developmental cognitive neuroscience</a>","Dev Cogn Neurosci","58","eng","101167","9638728","36335807","2022 Dec","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9638728'>Increasing diversity in developmental cognitive neuroscience: A roadmap for increasing representation in pediatric neuroimaging research.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36335807&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9638728/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36335807'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9638728/'>Cited By, Google</a>",5.74
"R25MH083620","Substance Use Epidemiology Program, Rhode Island Department of Health, Providence, RI, USA. Electronic address: Benjamin.Hallowell@health.ri.gov.","2022","Hallowell, Benjamin D; Chambers, Laura C; Samuels, Elizabeth A; Bratberg, Jeffrey; McDonald, James; Nitenson, Adam; Onyejekwe, Collette; Beaudoin, Francesca L","Ireland","1879-0046"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/36335834'>Drug and alcohol dependence</a>","Drug Alcohol Depend","241","eng","109680","10193454","36335834","2022 Dec 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10193454'>Sociodemographic and prescribing characteristics that impact long-term retention in buprenorphine treatment for opioid use disorder among a statewide population.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36335834&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10193454/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36335834'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10193454/'>Cited By, Google</a>",0.6
"R01MH118013","Institute for Human Neuroscience, Boys Town National Research Hospital, Boys Town, NE, USA.","2022","Spooner, Rachel K; Wilson, Tony W","England","2632-1297","6","<a href='https://pubmed.ncbi.nlm.nih.gov/36337344'>Brain communications</a>","Brain Commun","4","eng","fcac249","9631971","36337344","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9631971'>Cortical theta-gamma coupling governs the adaptive control of motor commands.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36337344&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9631971/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36337344'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9631971/'>Cited By, Google</a>",1.72
"R01MH118695","Department of CSEE, University of Maryland, Baltimore County, Baltimore, MD, USA.","2022","Adali, Tülay; Kantar, Furkan; Akhonda, M A B Siddique; Strother, Stephen; Calhoun, Vince D; Acar, Evrim","United States","1053-5888","4","<a href='https://pubmed.ncbi.nlm.nih.gov/36337436'>IEEE signal processing magazine</a>","IEEE Signal Process Mag","39","eng","8-24","9635492","36337436","2022 Jul","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9635492'>Reproducibility in Matrix and Tensor Decompositions: Focus on Model Match, Interpretability, and Uniqueness.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36337436&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9635492/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36337436'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9635492/'>Cited By, Google</a>",1.46
"R01MH112847","School of Mathematical and Statistical Sciences, Clemson University, Clemson, SC 29634, USA.","2022","Brown, D Andrew; McMahan, Christopher S; Shinohara, Russell T; Linn, Kristin A; Alzheimer’s Disease Neuroimaging Initiative","United States","0162-1459","538","<a href='https://pubmed.ncbi.nlm.nih.gov/36338275'>Journal of the American Statistical Association</a>","J Am Stat Assoc","117","eng","547-560","9632253","36338275","2022","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9632253'>Bayesian Spatial Binary Regression for Label Fusion in Structural Neuroimaging.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=36338275&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9632253/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=36338275'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9632253/'>Cited By, Google</a>",0.43
