"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"U01MH125062","Department & Institute of Psychiatry, Faculdade de Medicina, Hospital das Clinicas HCFMUSP, Universidade de Sao Paulo, Sao Paulo (SP), Brazil.","2024","Lima, Monicke O; Saraiva, Leonardo C; Ramos, Vanessa R; Oliveira, Melaine C; Costa, Daniel L C; Brazilian Research Consortium on Obsessive-Compulsive Spectrum Disorders; Fernandez, Thomas V; Crowley, James J; Storch, Eric A; Shavitt, Roseli G; Miguel, Euripedes C; Cappi, Carolina","Ireland","1872-7123"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38113811'>Psychiatry research</a>","Psychiatry Res","331","eng","115627","11129832","38113811","2024 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11129832'>Clinical characteristics of probands with obsessive-compulsive disorder from simplex and multiplex families.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38113811&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11129832/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38113811'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11129832/'>Cited By, Google</a>"," ",
"T32MH020030","Virginia Institute for Psychiatric and Behavioral Genetics, Virginia Commonwealth University, Richmond, Virginia.","2024","Stephenson, Mallory; Edwards, Alexis C","United States","1938-4114","3","<a href='https://pubmed.ncbi.nlm.nih.gov/38227385'>Journal of studies on alcohol and drugs</a>","J Stud Alcohol Drugs","85","eng","339-348","11095497","38227385","2024 May","Investigating Associations of Substance Use and Dependence With Planned Versus Unplanned Suicide Attempt.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38227385&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11095497/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38227385'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11095497/'>Cited By, Google</a>"," ",
"K01MH121515","Department of Health Law, Policy, and Management, Boston University School of Public Health, Boston, Massachusetts, USA.","2024","Freibott, Christina E; McCann, Nicole C; Biondi, Breanne E; Lipson, Sarah Ketchen","United States","1940-3208"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38227912'>Journal of American college health : J of ACH</a>","J Am Coll Health"," ","eng","1-9","11250916","38227912","2024 Jan 16","Interventions to increase naloxone access for undergraduate students: A systematic review of the literature.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38227912&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11250916/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38227912'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11250916/'>Cited By, Google</a>"," ",
"T32MH019105","Nell Hodson Woodruff School of Nursing, Emory University, Atlanta, Georgia, USA.","2024","Sherman, Athena D F; Higgins, Melinda K; Balthazar, Monique S; Hill, Miranda; Klepper, Meredith; Schneider, Jason S; Adams, Dee; Radix, Asa; Mayer, Kenneth H; Cooney, Erin E; Poteat, Tonia C; Wirtz, Andrea L; Reisner, Sari L; American Cohort to Study HIV Acquisition Among Transgender Women (LITE) Study Group","United States","1547-5069","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38228564'>Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing</a>","J Nurs Scholarsh","56","eng","42-59","10792251","38228564","2024 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10792251'>Stigma, social and structural vulnerability, and mental health among transgender women: A partial least square path modeling analysis.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38228564&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10792251/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38228564'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10792251/'>Cited By, Google</a>"," ",
"R25MH067127","School of Nursing, Yale University, Orange, CT, United States.","2024","Ni, Zhao; Peng, Mary L; Balakrishnan, Vimala; Tee, Vincent; Azwa, Iskandar; Saifi, Rumana; Nelson, LaRon E; Vlahov, David; Altice, Frederick L","Canada","1929-0748"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38228575'>JMIR research protocols</a>","JMIR Res Protoc","13","eng","e54349","10905346","38228575","2024 Feb 15","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10905346'>Implementation of Chatbot Technology in Health Care: Protocol for a Bibliometric Analysis.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38228575&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10905346/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38228575'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10905346/'>Cited By, Google</a>"," ",
"R01MH124590","MRC Centre for Global Infectious Disease Analysis and the Department of Infectious Disease Epidemiology, Imperial College London, London, UK.","2024","Nascimento, Fabrícia F; Mehta, Sanjay R; Little, Susan J; Volz, Erik M","England","1473-5571","6","<a href='https://pubmed.ncbi.nlm.nih.gov/38126363'>AIDS (London, England)</a>","AIDS","38","eng","865-873","10994139","38126363","2024 May 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10994139'>Assessing transmission attribution risk from simulated sequencing data in HIV molecular epidemiology.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38126363&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10994139/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38126363'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10994139/'>Cited By, Google</a>"," ",
"K01MH129991","School of Social Work, University of Texas at Arlington, Arlington, TX.","2024","Graaf, Genevieve; Hughes, Phillip M; deJong, Neal A; Thomas, Kathleen C","United States","1536-7312","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38127916'>Journal of developmental and behavioral pediatrics : JDBP</a>","J Dev Behav Pediatr","45","eng","e54-e62","10922057","38127916","2024 Jan 01","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10922057'>Family Support Services and Reported Parent Coping Among Caregivers of Children with Emotional, Behavioral, or Developmental Disorders.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38127916&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10922057/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38127916'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10922057/'>Cited By, Google</a>"," ",
"R01MH127176","Department of Psychology, University of California, Los Angeles, Los Angeles, CA, USA.","2024","Coury, Saché M; López, Vanessa; Bajwa, Zia; Garcia, Jordan M; Teresi, Giana I; Kuhlman, Kate R; Li, Yan; Cole, Steve; Miklowitz, David J; Pappas, Ioannis; Ho, Tiffany C","United States","2666-3546"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38235411'>Brain, behavior, & immunity - health</a>","Brain Behav Immun Health","35","eng","100718","10792689","38235411","2024 Feb","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10792689'>Protocol for teen inflammation glutamate emotion research (TIGER): Toward predictors of treatment response and clinical course in depressed adolescents.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38235411&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10792689/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38235411'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10792689/'>Cited By, Google</a>"," ",
"P30MH062294","MAP Centre for Urban Health Solutions, Li Ka Shing Knowledge Institute, St Michael's Hospital, Unity Health Toronto, Toronto, ON, Canada.","2024","Demeke, Jemal; Djiadeu, Pascal; Yusuf, Abban; Whitfield, Darren Lovell; Lightfoot, David; Worku, Fiqir; Abu-Ba'are, Gamji Rabiu; Mbuagbaw, Lawrence; Giwa, Sulaimon; Nelson, LaRon E","Canada","2369-2960"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38236626'>JMIR public health and surveillance</a>","JMIR Public Health Surveill","10","eng","e40493","10835596","38236626","2024 Jan 18","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10835596'>HIV Prevention and Treatment Interventions for Black Men Who Have Sex With Men in Canada: Scoping Systematic Review.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38236626&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10835596/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38236626'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10835596/'>Cited By, Google</a>"," ",
"R01MH116969","Obsessive Compulsive Disorder Institute, McLean Hospital, United States; Department of Psychiatry, Harvard Medical School, United States. Electronic address: mfalkenstein@mclean.harvard.edu.","2024","Falkenstein, Martha J; Kelley, Kara N; Martin, Heather S; Kuckertz, Jennie M; Coppersmith, Daniel; Bezahler, Andreas; Narine, Kevin; Beard, Courtney; Webb, Christian A","Ireland","1872-7123"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38237537'>Psychiatry research</a>","Psychiatry Res","333","eng","115740","10922745","38237537","2024 Mar","Multi-method assessment of suicidal thoughts and behaviors among patients in treatment for OCD and related disorders.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38237537&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10922745/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38237537'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10922745/'>Cited By, Google</a>"," ",
"R01MH131715","McGovern Institute for Brain Research, Massachusetts Institute of Technology, Cambridge, MA, USA. diegomendoza@pitt.edu.","2024","Mendoza-Halliday, Diego; Major, Alex James; Lee, Noah; Lichtenfeld, Maxwell J; Carlson, Brock; Mitchell, Blake; Meng, Patrick D; Xiong, Yihan Sophy; Westerberg, Jacob A; Jia, Xiaoxuan; Johnston, Kevin D; Selvanayagam, Janahan; Everling, Stefan; Maier, Alexander; Desimone, Robert; Miller, Earl K; Bastos, André M","United States","1546-1726","3","<a href='https://pubmed.ncbi.nlm.nih.gov/38238431'>Nature neuroscience</a>","Nat Neurosci","27","eng","547-560","10917659","38238431","2024 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10917659'>A ubiquitous spectrolaminar motif of local field potential power across the primate cortex.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38238431&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10917659/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38238431'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10917659/'>Cited By, Google</a>"," ",
"R00MH116100","McGovern Institute for Brain Research, Massachusetts Institute of Technology, Cambridge, MA, USA. diegomendoza@pitt.edu.","2024","Mendoza-Halliday, Diego; Major, Alex James; Lee, Noah; Lichtenfeld, Maxwell J; Carlson, Brock; Mitchell, Blake; Meng, Patrick D; Xiong, Yihan Sophy; Westerberg, Jacob A; Jia, Xiaoxuan; Johnston, Kevin D; Selvanayagam, Janahan; Everling, Stefan; Maier, Alexander; Desimone, Robert; Miller, Earl K; Bastos, André M","United States","1546-1726","3","<a href='https://pubmed.ncbi.nlm.nih.gov/38238431'>Nature neuroscience</a>","Nat Neurosci","27","eng","547-560","10917659","38238431","2024 Mar","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10917659'>A ubiquitous spectrolaminar motif of local field potential power across the primate cortex.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38238431&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10917659/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38238431'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10917659/'>Cited By, Google</a>"," ",
"R01MH123156","Department of Neurological Surgery, University of California San Francisco, San Francisco, CA, USA.","2024","Mathur, Radhika; Wang, Qixuan; Schupp, Patrick G; Nikolic, Ana; Hilz, Stephanie; Hong, Chibo; Grishanina, Nadia R; Kwok, Darwin; Stevers, Nicholas O; Jin, Qiushi; Youngblood, Mark W; Stasiak, Lena Ann; Hou, Ye; Wang, Juan; Yamaguchi, Takafumi N; Lafontaine, Marisa; Shai, Anny; Smirnov, Ivan V; Solomon, David A; Chang, Susan M; Hervey-Jumper, Shawn L; Berger, Mitchel S; Lupo, Janine M; Okada, Hideho; Phillips, Joanna J; Boutros, Paul C; Gallo, Marco; Oldham, Michael C; Yue, Feng; Costello, Joseph F","United States","1097-4172","2","<a href='https://pubmed.ncbi.nlm.nih.gov/38242087'>Cell</a>","Cell","187","eng","446-463.e16","10832360","38242087","2024 Jan 18","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10832360'>Glioblastoma evolution and heterogeneity from a 3D whole-tumor perspective.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38242087&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10832360/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38242087'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10832360/'>Cited By, Google</a>"," ",
"R01MH060974","MRC Cognition and Brain Sciences Unit, School of Clinical Medicine, University of Cambridge, Cambridge, CB2 7EF, United Kingdom.","2024","Assem, Moataz; Shashidhara, Sneha; Glasser, Matthew F; Duncan, John","United States","1460-2199","2","<a href='https://pubmed.ncbi.nlm.nih.gov/38244562'>Cerebral cortex (New York, N.Y. : 1991)</a>","Cereb Cortex","34","eng"," ","10839840","38244562","2024 Jan 31","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10839840'>Basis of executive functions in fine-grained architecture of cortical and subcortical human brain networks.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38244562&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10839840/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38244562'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10839840/'>Cited By, Google</a>"," ",
"R01MH123473","Institute for Policy Research, Northwestern University, United States; Department of Psychology, Northwestern University, United States. Electronic address: greg.miller@northwestern.edu.","2024","Miller, Gregory E; Carroll, Ann L; Armstrong, Casey C; Craske, Michelle G; Zinbarg, Richard E; Bookheimer, Susan Y; Ka-Yi Chat, Iris; Vinograd, Meghan; Young, Katherine S; Nusslock, Robin","Netherlands","1090-2139"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38244947'>Brain, behavior, and immunity</a>","Brain Behav Immun","117","eng","215-223","10932835","38244947","2024 Mar","Major stress in early childhood strengthens the association between peripheral inflammatory activity and corticostriatal responsivity to reward.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38244947&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10932835/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38244947'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10932835/'>Cited By, Google</a>"," ",
"R15MH129773","Department of Psychology, University of North Texas, Terrill Hall, Denton, TX, 76201, United States of America. Electronic address: ateka.contractor@unt.edu.","2024","Contractor, Ateka A; Blumenthal, Heidemarie; Rosenfield, David; Shea, M Tracie; Taylor, Daniel J; Fentem, Andrea; Vingren, Jakob L","United States","1559-2030"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/38253251'>Contemporary clinical trials</a>","Contemp Clin Trials","138","eng","107455","11338315","38253251","2024 Mar","Study protocol and rationale for a pilot randomized clinical trial comparing processing of positive memories technique with supportive counseling for PTSD.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38253251&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11338315/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38253251'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11338315/'>Cited By, Google</a>"," ",
"ZIAMH002619","Molecular Imaging Branch, National Institute of Mental Health, National Institutes of Health, Bethesda, MD, USA.","2024","Nerella, Sridhar Goud; Telu, Sanjay; Liow, Jeih-San; Jenkins, Madeline D; Zoghbi, Sami S; Gomez, Juan L; Michaelides, Michael; Eldridge, Mark A G; Richmond, Barry J; Innis, Robert B; Pike, Victor W","England","2045-2322","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38253691'>Scientific reports</a>","Sci Rep","14","eng","1886","10803328","38253691","2024 Jan 22","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10803328'>Synthesis and preclinical evaluation of [11C]uPSEM792 for PSAM4-GlyR based chemogenetics.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38253691&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10803328/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38253691'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10803328/'>Cited By, Google</a>"," ",
"T32MH019105","Trans Research Unit for Equity, Center for Public Health Research, San Francisco Department of Public Health, San Francisco, USA. erincwilson@gmail.com.","2024","Wilson, Erin C; Baguso, Glenda N; Quintana, Jerry; Suprasert, Bow; Arayasirikul, Sean","England","1472-6874","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38254161'>BMC women's health</a>","BMC Womens Health","24","eng","56","10802058","38254161","2024 Jan 22","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10802058'>Detectable viral load associated with unmet mental health and substance use needs among trans women living with HIV in San Francisco, California.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38254161&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10802058/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38254161'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10802058/'>Cited By, Google</a>"," ",
