"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"T32MH020031","Yale University, New Haven, CT, USA.","2021","Willie, Tiara C; Kershaw, Trace; Sullivan, Tami P","United States","1552-6518","11-12","<a href='https://pubmed.ncbi.nlm.nih.gov/30280634'>Journal of interpersonal violence</a>","J Interpers Violence","36","eng","5145-5166","6447472","30280634","2021 06","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/6447472'>The Impact of Adverse Childhood Events on the Sexual and Mental Health of Women Experiencing Intimate Partner Violence.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30280634&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC6447472/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=30280634'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC6447472/'>Cited By, Google</a>",1.54
"T32MH018869","Medical University of South Carolina, Charleston, SC, USA.","2021","Gilmore, Amanda K; Price, Matthew; Bountress, Kaitlin E; Zuromski, Kelly L; Ruggiero, Ken; Resnick, Heidi","United States","1552-6518","9-10","<a href='https://pubmed.ncbi.nlm.nih.gov/30136879'>Journal of interpersonal violence</a>","J Interpers Violence","36","eng","NP4611-NP4625","6387649","30136879","2021 05","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/6387649'>A Longitudinal Examination of Interpersonal Violence Exposure, Concern for Loved Ones During a Disaster, and Web-Based Intervention Effects on Posttraumatic Stress Disorder Among Adolescent Victims of the Spring 2011 Tornadoes.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30136879&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC6387649/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=30136879'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC6387649/'>Cited By, Google</a>",1.16
"R01MH048463","Department of Psychiatry, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania.","2021","Soloff, Paul H","United States","1943-2763","1","<a href='https://pubmed.ncbi.nlm.nih.gov/30785863'>Journal of personality disorders</a>","J Pers Disord","35","eng","21-40","9237745","30785863","2021 Feb","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/9237745'>Bridging the Gap Between Remission and Recovery in BPD: Qualitative Versus Quantitative Perspectives.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30785863&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC9237745/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=30785863'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC9237745/'>Cited By, Google</a>",0.78
"T32MH020030","Division of Epidemiology, Department of Family Medicine and Population Health, Virginia Commonwealth University, PO Box 980212, Richmond, VA, 23298-0212, USA. Electronic address: Elizabeth.Prom-Wormley@vcuhealth.org.","2021","Prom-Wormley, Elizabeth C; Clifford, James S; Bourdon, Jessica L; Barr, Peter; Blondino, Courtney; Ball, Kevin M; Montgomery, Joshua; Davis, Jonathan K; Real, Joseph E; Edwards, Alexis C; Thiselton, Dawn L; Creighton, Gwen Corley; Wilson, De'Nisha; Newbille, Cynthia","England","1873-5347"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/30862375'>Social science & medicine (1982)</a>","Soc Sci Med","271","eng","112160","6800765","30862375","2021 02","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/6800765'>Developing community-based health education strategies with family history: Assessing the association between community resident family history and interest in health education.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30862375&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC6800765/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=30862375'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC6800765/'>Cited By, Google</a>",1.27
"R25MH087217","Department of Psychology, 138572University of Georgia, Athens, GA, USA.","2021","Metzger, Isha W; Anderson, Riana Elyse; Are, Funlola; Ritchwood, Tiarney","United States","1552-6119","1","<a href='https://pubmed.ncbi.nlm.nih.gov/32367729'>Child maltreatment</a>","Child Maltreat","26","eng","17-27","8807349","32367729","2021 02","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8807349'>Healing Interpersonal and Racial Trauma: Integrating Racial Socialization Into Trauma-Focused Cognitive Behavioral Therapy for African American Youth.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32367729&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8807349/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32367729'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8807349/'>Cited By, Google</a>",9.93
"R01MH118484","Department of Psychiatry and Behavioral Neurobiology, University of Alabama at Birmingham, Birmingham, AL, USA. nkraguljac@uabmc.edu.","2021","Kraguljac, Nina Vanessa; Anthony, Thomas; Morgan, Charity Johanna; Jindal, Ripu Daman; Burger, Mark Steven; Lahti, Adrienne Carol","England","1476-5578","9","<a href='https://pubmed.ncbi.nlm.nih.gov/32398721'>Molecular psychiatry</a>","Mol Psychiatry","26","eng","5347-5356","7658031","32398721","2021 09","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7658031'>White matter integrity, duration of untreated psychosis, and antipsychotic treatment response in medication-naïve first-episode psychosis patients.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32398721&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7658031/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32398721'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7658031/'>Cited By, Google</a>",3.28
"R01MH124871","Institute for Molecular Biosciences, University of Queensland, Brisbane, QLD, Australia. enda.byrne@uq.edu.au.","2021","Byrne, Enda M; Zhu, Zhihong; Qi, Ting; Skene, Nathan G; Bryois, Julien; Pardinas, Antonio F; Stahl, Eli; Smoller, Jordan W; Rietschel, Marcella; Bipolar Working Group of the Psychiatric Genomics Consortium; Major Depressive Disorder Working Group of the Psychiatric Genomics Consortium; Owen, Michael J; Walters, James T R; O'Donovan, Michael C; McGrath, John G; Hjerling-Leffler, Jens; Sullivan, Patrick F; Goddard, Michael E; Visscher, Peter M; Yang, Jian; Wray, Naomi R","England","1476-5578","6","<a href='https://pubmed.ncbi.nlm.nih.gov/32398722'>Molecular psychiatry</a>","Mol Psychiatry","26","eng","2070-2081","7657979","32398722","2021 06","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7657979'>Conditional GWAS analysis to identify disorder-specific SNPs for psychiatric disorders.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32398722&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7657979/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32398722'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7657979/'>Cited By, Google</a>",3.77
"T32MH067631","Department of Psychology, University of Illinois at Chicago, Chicago, IL, USA.","2021","Funkhouser, Carter J; Chacko, Anjali A; Correa, Kelly A; Kaiser, Ariela J E; Shankman, Stewart A","England","1469-7610","2","<a href='https://pubmed.ncbi.nlm.nih.gov/32399985'>Journal of child psychology and psychiatry, and allied disciplines</a>","J Child Psychol Psychiatry","62","eng","184-194","7657959","32399985","2021 02","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7657959'>Unique longitudinal relationships between symptoms of psychopathology in youth: A cross-lagged panel network analysis in the ABCD study.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32399985&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7657959/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32399985'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7657959/'>Cited By, Google</a>",6.78
"K01MH122805","Department of Psychology, University of Miami, Coral Gables, FL, USA.","2021","Rogers, Brooke G; Glynn, Tiffany R; Bainter, Sierra A; McCauley, Thomas; Antoni, Michael H; Safren, Steven A","England","1476-8321","4","<a href='https://pubmed.ncbi.nlm.nih.gov/32400209'>Psychology & health</a>","Psychol Health","36","eng","496-510","7665986","32400209","2021 Apr","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/7665986'>Syndemics and salivary inflammation in people living with HIV/AIDS.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32400209&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC7665986/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32400209'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC7665986/'>Cited By, Google</a>",0.24
"R01MH119219","Department of Psychiatry, Yale University, New Haven, CT, USA. Electronic address: scott.woods@yale.edu.","2021","Woods, Scott W; Bearden, Carrie E; Sabb, Fred W; Stone, William S; Torous, John; Cornblatt, Barbara A; Perkins, Diana O; Cadenhead, Kristin S; Addington, Jean; Powers 3rd, Albert R; Mathalon, Daniel H; Calkins, Monica E; Wolf, Daniel H; Corcoran, Cheryl M; Horton, Leslie E; Mittal, Vijay A; Schiffman, Jason; Ellman, Lauren M; Strauss, Gregory P; Mamah, Daniel; Choi, Jimmy; Pearlson, Godfrey D; Shah, Jai L; Fusar-Poli, Paolo; Arango, Celso; Perez, Jesus; Koutsouleris, Nikolaos; Wang, Jijun; Kwon, Jun Soo; Walsh, Barbara C; McGlashan, Thomas H; Hyman, Steven E; Gur, Raquel E; Cannon, Tyrone D; Kane, John M; Anticevic, Alan","Netherlands","1573-2509"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/32402605'>Schizophrenia research</a>","Schizophr Res","227","eng","10-17","8218020","32402605","2021 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/8218020'>Counterpoint. Early intervention for psychosis risk syndromes: Minimizing risk and maximizing benefit.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=32402605&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC8218020/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=32402605'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC8218020/'>Cited By, Google</a>",3.51
