"Core Project Number","Affiliation","Pub Year","Authors","Country","ISSN","Journal Issue","Journal (Link to PubMed abstract)","Journal Title ABBR","Journal Volume","Language","Page Number","PMC ID","PMID","PUB Date","Title (Link to full-text in PubMed Central)","Related Publications in PubMed","Related Publications in Google Scholar","Articles Citing from PubMed Central","Articles Citing from Google Scholar","Relative Citation Ratio",
"T32MH020016"," ","2025","Golf, Samantha R; Trotter, Justin H; Wang, Jinzhao; Nakahara, George; Han, Xiao; Wernig, Marius; Südhof, Thomas C","United States","2692-8205"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/37090508'>bioRxiv : the preprint server for biology</a>","bioRxiv"," ","eng"," ","10120619","37090508","2025 Jan 06","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/10120619'>Deletion of Neuroligins from Astrocytes Does Not Detectably Alter Synapse Numbers or Astrocyte Cytoarchitecture by Maturity.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=37090508&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC10120619/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=37090508'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC10120619/'>Cited By, Google</a>"," ",
"RF1MH128885","Biological Sciences Division, Pacific Northwest National Laboratory, Richland, WA, 99354, USA.","2025","Kitata, Reta Birhanu; Velickovic, Marija; Xu, Zhangyang; Zhao, Rui; Scholten, David; Chu, Rosalie K; Orton, Daniel J; Chrisler, William B; Zhang, Tong; Mathews, Jeremy V; Bumgarner, Benjamin M; Gursel, Demirkan B; Moore, Ronald J; Piehowski, Paul D; Liu, Tao; Smith, Richard D; Liu, Huiping; Wasserfall, Clive H; Tsai, Chia-Feng; Shi, Tujin","England","2041-1723","1","<a href='https://pubmed.ncbi.nlm.nih.gov/39805815'>Nature communications</a>","Nat Commun","16","eng","547","11730317","39805815","2025 Jan 13","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11730317'>Robust collection and processing for label-free single voxel proteomics.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39805815&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11730317/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39805815'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11730317/'>Cited By, Google</a>"," ",
"U01MH124639","Social, Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, Psychology and Neuroscience, King's College London, London, UK.","2025","Bond, Benjamin W; Duric, Bea; Spinazzola, Edoardo; Trotta, Giulia; Chesney, Edward; Li, Zhikun; Quattrone, Diego; Tripoli, Giada; Gayer-Anderson, Charlotte; Rodriguez, Victoria; Ferraro, Laura; La Cascia, Caterina; Tarricone, Ilaria; Szöke, Andrei; Arango, Celso; Bobes, Julio; Bernardo, Miquel; Del-Ben, Cristina Marta; Menezes, Paulo Rossi; Selten, Jean-Paul; Rutten, Bart P F; de Haan, Lieuwe; Stilo, Simona; Schürhoff, Franck; Pignon, Baptiste; Freeman, Tom P; Vassos, Evangelos; Murray, Robin M; Austin-Zimmerman, Isabelle; Di Forti, Marta","United States","1497-0015"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/39810593'>Canadian journal of psychiatry. Revue canadienne de psychiatrie</a>","Can J Psychiatry"," ","eng","7067437241290187","11733868","39810593","2025 Jan 15","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11733868'>Cannabis Use Cessation and the Risk of Psychotic Disorders: A Case-Control Analysis from the First Episode Case-Control EU-GEI WP2 Study: L'arrêt de l'utilisation du cannabis et le risque de troubles psychotiques: Une analyse cas-témoins tirée de l'étude cas-témoins EU-GEI WP2 centrée sur les premiers épisodes psychotiques.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39810593&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11733868/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39810593'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11733868/'>Cited By, Google</a>"," ",
"U01MH129968","Department of Social and Behavioral Sciences, Harvard T.H. Chan School of Public Health, Boston, Massachusetts.","2025","Wright, Emily; Dore, Emily C; Koenen, Karestan C; Mangurian, Christina; Williams, David R; Hamad, Rita","United States","2574-3805","1","<a href='https://pubmed.ncbi.nlm.nih.gov/39813035'>JAMA network open</a>","JAMA Netw Open","8","eng","e2454718","11736504","39813035","2025 Jan 02","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11736504'>Prevalence of and Inequities in Poor Mental Health Across 3 US Surveys, 2011 to 2022.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39813035&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11736504/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39813035'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11736504/'>Cited By, Google</a>"," ",
"K24MH135189","Eating Disorders Clinical and Research Program, Massachusetts General Hospital, Boston, Massachusetts, USA.","2025","Thomas, Jennifer J; McPherson, Iman K","United States","1098-108X"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/39821105'>The International journal of eating disorders</a>","Int J Eat Disord"," ","eng"," "," ","39821105","2025 Jan 16","Elevating the Discourse on the Comorbidity and Treatment of Eating Disorders and Autism Spectrum Disorder: Commentary on Inal-Kaleli et al. and Nimbley et al.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39821105&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Elevating the Discourse on the Comorbidity and Treatment of Eating Disorders and Autism Spectrum Disorder: Commentary on Inal-Kaleli et al. and Nimbley et al.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39821105'>Cited By, PMID</a>"," "," ",
"K24MH135189","Neuroendocrine Unit, Massachusetts General Hospital, Boston, Massachusetts, USA.","2025","Gydus, Julia; Holman, Katherine; Harshman, Stephanie; Stull, Madeline; Kuhnle, Megan; Wons, Olivia; Asanza, Elisa; Hauser, Kristine; Stern, Casey; Becker, Kendra R; Kambanis, P Evelyna; Misra, Madhusmita; Eddy, Kamryn T; Micali, Nadia; Lawson, Elizabeth A; Thomas, Jennifer J","United States","1098-108X"," ","<a href='https://pubmed.ncbi.nlm.nih.gov/39821215'>The International journal of eating disorders</a>","Int J Eat Disord"," ","eng"," "," ","39821215","2025 Jan 17","Differences in Perceived Versus Actual Sensory Perception in Avoidant/Restrictive Food Intake Disorder.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=39821215&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Differences in Perceived Versus Actual Sensory Perception in Avoidant/Restrictive Food Intake Disorder.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=39821215'>Cited By, PMID</a>"," "," ",
"T32MH122395","Department of Psychiatry and Biobehavioral Sciences, University of California, Los Angeles, California, USA.","2025","Meza, Jocelyn I; Piña-Watson, Brandy; Lopez, Daisy; Bonilla, Gisel Suarez; Sanchez, Maria R; Manzo, Gabriela; Garcia, Aundrea","England","1943-278X","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38414324'>Suicide & life-threatening behavior</a>","Suicide Life Threat Behav","55","eng","e13067","11347724","38414324","2025 Feb","Examining the relationship between suicide ideation frequency and intergenerational acculturative conflict between Mexican descent college students and their caregivers using the interpersonal theory of suicide.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38414324&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11347724/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38414324'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11347724/'>Cited By, Google</a>"," ",
"R01MH115174","Emory University School of Medicine, Atlanta, GA, USA.","2025","Huibregtse, Megan E; Wallace, Shimarith; Ravi, Meghna; Karra, Sriya; McAfee, Elizabeth E; Hinojosa, Cecilia A; Mekawi, Yara; Powers, Abigail; Michopoulos, Vasiliki; Lathan, Emma C","United States","1552-6518","1-2","<a href='https://pubmed.ncbi.nlm.nih.gov/38622881'>Journal of interpersonal violence</a>","J Interpers Violence","40","eng","101-120","11473712","38622881","2025 Jan","<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/11473712'>The Relations Among Childhood Maltreatment and Later Intimate Partner Violence Victimization With and Without a Weapon in a Sample of Pregnant Black Individuals.</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38622881&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11473712/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38622881'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11473712/'>Cited By, Google</a>"," ",
"K01MH125173","Department of Psychology, University of Virginia, Charlottesville, Virginia, USA.","2025","Williams, Cabell L; Belkowitz, Allison R; Nance, Madelyn G; Mortman, Emily T; Bae, Sonie; Ahmed, Sheher-Bano; Puglia, Meghan H","United States","1532-7078","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38676934'>Infancy : the official journal of the International Society on Infant Studies</a>","Infancy","30","eng","e12595","11512688","38676934","2025","Parent attention-orienting behavior is associated with neural entropy in infancy.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38676934&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?q=related:https://pmc.ncbi.nlm.nih.gov/articles/PMC11512688/'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38676934'>Cited By, PMID</a>","<a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://pmc.ncbi.nlm.nih.gov/articles/PMC11512688/'>Cited By, Google</a>"," ",
"K23MH130728","Division of Emergency Medicine, Children's Mercy Kansas City, Kansas City, MO, USA.","2025","McNeill-Johnson, April; Miller, Melissa; Stancil, Stephani; Randell, Kimberly A","United States","1938-2707","1","<a href='https://pubmed.ncbi.nlm.nih.gov/38682641'>Clinical pediatrics</a>","Clin Pediatr (Phila)","64","eng","9-13"," ","38682641","2025 Jan","Sexual and Reproductive Health Care Utilization for Youth Experiencing Homelessness.","<a href='https://pubmed.ncbi.nlm.nih.gov/?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=38682641&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed'>Related, PubMed</a>","<a href='https://scholar.google.com/scholar?hl=en&q=Sexual and Reproductive Health Care Utilization for Youth Experiencing Homelessness.'>Related, Google Scholar</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/?linkname=pubmed_pubmed_citedin&from_uid=38682641'>Cited By, PMID</a>"," "," ",
